*ERROR* 	2015/11/06 - 11:39:48: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:39:51: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:39:52: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:40:07: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:44:32: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:44:43: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:44:45: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:12: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:13: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:14: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:15: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:16: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:16: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:23: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:24: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:47:25: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:48:38: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:48:39: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 11:50:53: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 17:04:21: Shop not found at line 400 in file classes/shop/Shop.php
*ERROR* 	2015/11/06 - 17:04:23: Shop not found at line 400 in file classes/shop/Shop.php
